PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Summit,Dillon Farmers Market,275 LaBonte Street,,Dillon,CO,80435,(970) 468-2403,No,farmersmarket@townofdillon.com,https://www.townofdillon.com/events/dillon-farmers-market,https://www.facebook.com/dillonfarmersmarket,https://www.instagram.com/dillonfarmersmarket/,,June|July|August|September,5,,,,,9 a.m. to 2 p.m.,,,Farmers' Market,,,No,No,Yes,,,Peaches|Mushrooms,Sweet Corn,,Buffalo|Beef|Jerky,,,,Baked Goods|Cheese|Honey|Jams|Jellies|Pickles|Popcorn,Juices|Handcrafted Gifts,,"Join us Fridays from June 5 through September 25, as 100+ vendors offer Colorado produce, cheeses, treats, gifts and more at the Dillon Farmers Market. Live music and food trucks add to a fun atmosphere for all ages.",,,39.629128096000045,-106.04338499099998
,Larimer,Hazel Dell Mushrooms,3925 E County Rd 32,,Fort Collins,CO,80528,(970) 624-7884,No,info@hazeldellmushrooms.com,www.hazeldellmushrooms.com,https://www.facebook.com/hazeldellmushrooms,https://www.instagram.com/hazeldellmushrooms/,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,,,On-Farm/Ranch sales,,,Yes,Yes,Yes,USDA,,Mushrooms,,,,,,,,Handcrafted Gifts,,"Hazel Dell is Colorado's premier exotic mushroom grower. Established in 1997, the farm is family owned and operated and produces the highest quality certified organic culinary mushrooms. The farm store offers up to 12 different varieties of fresh, dried and powdered mushrooms and inspired goodies. ",,,40.479518478000045,-105.00410301799997
80421,Park,Mutual Dream Farm,PO Box 982,,Bailey,CO,80421,(720) 315-4761,Yes,Mutualdreamfarm@gmail.com,www.mutualdreamfarm.com,www.facebook.com/MutualDreamFarm,@mutualdreamfarm,,March|May|June|April|July|August|September|October|November|December|February|January,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,,,,,,,,Goat,,,,"Mutual Dream Farm, nestled in Bailey, Colorado, is committed to providing sustainably raised, nutritious food and natural, homemade goods while enhancing the environment through soil-building permaculture practices. We offer a variety of farm-fresh products, including chicken eggs, goat meat, lamb, ",,9 a.m. - 6 p.m.,39.446168500000056,-105.46000419999996
,Garfield,Nieslanik Beef,761 Ranch View Drive,,CARBONDALE,CO,81623,(970) 963-1644,Yes,orders@nieslanikbeef.com,nieslanikbeef.com,Nieslanik Beef,Nieslanik Beef,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,8am - 5pm,9am - 11am,On-Farm/Ranch sales|Restaurant|Roadside Market|Sell to Schools,,,No,No,Yes,,,,,,Beef|Jerky|Lamb|Pork|Sausage,,,,,,Nieslanik Beef can deliver in their supper cool refrigerated truck,Nieslanik Beef is a 4th generation ranching business.  We supply individual cuts and wholes/halves to locals.  We sell wholesale to restaurants and schools and have the ability to deliver.  Special orders are not a problem.  ,,,39.38888598200003,-107.18921396299999
,Adams,Orchard Farmers MArket,14535 S Delaware Street,#150,Westminster,CO,80023,(720) 515-0431,No,abmarketcolorado@gmail.com,www.orchardfarmersmarket.com,Orchard Farmers Market,@TheOrchardFarmersMarket,,June|July|August|September,7,,,,,,,9 a.m. - 2 p.m.,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Okra|Onions|Nectarines|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Pork|Sausage,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Juices|Handcrafted Gifts,,"The Orchard Farmers Market features 50+ market vendors each Sunday in the Macy's parking lot at the Orchard Town Center off 144th and I25. Join us for produce, food items, baked goods, beverages, crafts and more!",,,39.96106256300004,-104.99162420899995
,Pueblo,McWiggly Worm Farm LLC,Pueblo West,,Pueblo West,CO,81007,(719) 470-2920,Yes,mcwiggly719@gmail.com,,https://www.facebook.com/profile.php?id=61558386928695,,,March|April|May|June|July|August|September|October,8,,,,,,,,,,Home Based Business that mainly sells at farmers markets,No,No,Yes,,,,,,,,,,,,"Composting worms, fishing worms, worm castings and worm casting tea/extract","We are a local, home-based worm farm. We raise and sell composting and fishing worms. We also sell worm castings and worm casting tea/extract. Worm castings and worm casting tea are one of the best, all natural soil inputs for anything with roots.",,7 am - 5 pm,38.30314909300006,-104.69408264899994
,Adams,Wolf Creek Fresh,6625 Wolf Creek Road,,Strasburg,CO,80136,(720) 288-0829,Yes,charlie@wokfcreekfresh.com,Www.wolfcreekfresh.com,Wolf Creek Fresh,Wolf Creek Fresh,,May|June|July|August|September|October|November,6|1,By appointment ,,,,,By appointment,,CSA Farm|Agritourism|Farmers' Market|Greenhouse|On-Farm/Ranch sales,Pumpkin Patch|Tours,Farm to Table education classes,No,Yes,No,,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Celery|Chile Peppers|Cucumbers,Garlic|Eggplant|Green Beans|Herbs|Honeydew|Kale|Lettuce|Onions|Peaches|Pears,Peas|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes|Turnips|Watermelon|Zucchini,,,,,Goat,Eggs|Baked Goods|Jams,,"Soup, bread, and cookie mixes in mason jars","Family-owned and operated in Strasburg, Wolf Creek Fresh is dedicated to providing 100% natural, free-range, and regeneratively farmed food. We offer a variety of fresh seasonal produce, free-range eggs, and specialty items. We can accept Snap/EBT benefits at the Bennett Farmersâ€™ Market only. Visit our website.",,,39.594657790350176,-104.36133305987643
,Crowley,Padilla Prouce Inc.,2990 State Highway 207,,Manzanola,CO,18951,(719) 641-2063,,rpadilla2@padillaproduceinc.com,https://www.padillaproduceinc.com/,,,,August|September|October,8,,,,,,,,Roadside Market,,,No,Yes,Yes,,Bell Peppers|Cantaloupe|Chile Peppers|Chile - Roasted|Cucumbers,Honeydew|Onions,Pumpkins|Tomatoes|Watermelon|Squash|Zucchini,"Chirstmas melons, yellow canary mellon, seedless watermelon (yellow and Red), heirloom pumpkins",,,,,,,,"Padilla Produce Inc. is a family-owned farm market with locations in Manzanola and Colorado Springs, offering wholesale and direct-to-consumer fresh produce through farmers markets, including watermelons, cantaloupe, peppers, onions, and alfalfa. We provide affordable, high-quality produce.",,9:00 am - 5:30 pm (Monday - Saturday) 9:00 am - 4:00 pm (Sunday),38.155659540000045,-103.85669892699997
,Weld,Pope Farms Produce & Garden Center LLC,6501 W 28th St,,Greeley,CO,80634,(970) 590-9124,No,Popefarm@hotmail.com,Popefarmsproduce.com,Pope Farms Produce,,,April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,9 am-6 pm,9 am-6 pm,9 am-6 pm,9 am-6 pm,9 am-6 pm,9 am-6 pm,10 am - 4pm,Garden Center|Roadside Market,,,No,Yes,Yes,,Apricots|Apples|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Sausage,,,,Jams|Jellies|Pickles|Popcorn|Honey|Eggs|Cheese,Cider|Juices|Christmas Trees|Handcrafted Gifts,,"We are a seasonal outlet for everything that grows in Colorado.  We offer local produce and plants, and fresh cut Christmas trees and wreaths.",,9 am - 6 pm,40.392765,-104.784993
,Denver,Mershops Market Days at Town Center Aurora (Presented by Grateful Garden llc),Food Court Parking lot 14200 E Alameda Ave,,Aurora,CO,80012,(720) 619-0619,No,katrina@gratefulgardenllc.com,Gvrfarmersmarket.com,https://www.facebook.com/gratefulgardenllc,https://www.instagram.com/gratefulgarden/,,June|July|August|September,6,,,,,,10 am - 2pm,,Roadside Market,Event Facilities,,No,Yes,Yes,,Cherries|Chile Peppers,Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Okra|Nectarines|Peaches,Spinach,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn|Cheese,Cider,,"Mershops Town Center at Aurora is more than a shopping destination - itâ€™s where the community connects.
For the last couple years, the has Mershops has been transforming the mall as  gathering place where neighbors connect, local businesses grow, and families build traditions. The Market is an extension of this!",,,39.707505,-104.8238775
,Denver,Painted Prairie Open Air Markets (Presented by Grateful Garden llc),High Prairie Park E 59th Pl & N Orleans St ,,Aurora,CO,80019,(720) 619-0619,No,katrina@gratefulgardenllc.com,gratefulgardenllc.com,https://www.facebook.com/gratefulgardenllc,https://www.instagram.com/gratefulgarden/,,June|July|August|September|October,6,,,,,,9 am - 1pm and October fest is 10 am - 3 pm,,Farmers' Market,,,No,Yes,Yes,,Cherries|Chile Peppers,Peaches|Herbs|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines,Spinach,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices,,"A seasonal outdoor market and community gathering at High Prairie Park featuring local vendors, themed events, and family-friendly programming.",,,39.80299080700007,-104.73660430199999
,Adams,Bennett Summer Pop-up Market,200 W Marketplace Dr,,"Bennett,",CO,80102,(505) 490-5141,Yes,admin@agfoodlab.org,,,@agfoodlab,,July|August|September,6,,,,,,9 am - 12 pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Chile Peppers|Cucumbers,Green Beans|Herbs|Kale|Lettuce|Microgreens|Okra|Onions|Peaches|Pears,Pinto Beans|Potatoes|Pumpkins|Radishes|Spinach|Squash|Sweet Corn|Tomatoes|Zucchini,,Beef|Lamb|Pork,,,,Jams|Jellies|Pickles|Baked Goods|Eggs,,,"This small pop-up market aims to increase local access to produce grown in Colorado, in particular for farmers and food producers along the I-70 corridor! You'll find us in the parking lot behind the Muegge House.",,,39.74168062000007,-104.43662430399996
,Routt,Yampa Valley Foods,35 11th Street,,Steamboat Springs,CO,80487,(970) 879-4370,,katie@communityagalliance.org,https://communityagalliance.org/programs/valley-foods/,https://www.facebook.com/AgAlliance/,https://www.instagram.com/agalliance/,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6,10:00am - 5:30pm,10:00am - 5:30pm,10:00am - 5:30pm,10:00am - 5:30pm,10:00am - 5:30pm,10:00am - 4:00pm,,Agritourism|Farmers' Market,Tours,"Farm-to-Table Dining Events, In-store Events",No,No,Yes,,Apples|Apricots|Beets|Bell Peppers|Brussels Sprouts|Cabbage|Carrots|Cauliflower|Celery|Cherries|Cucumbers,Garlic|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears,Peas|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Juices|Handcrafted Gifts,,"Yampa Valley Foods is a nonprofit marketplace that brings locally raised, grown, and produced goods to the people of the Yampa Valley. We offer a year-round selection of beef, pork, lamb, chicken, eggs, honey, cheese, seasonal veggies, and more and work with over 80 local producers.",,,40.48757389900004,-106.83857567999996
